t,cr,cm,pct,truth
0,0,699,0,165
50,0,699,0,214
100,712,700,0,229
150,697,700,0,204
200,697,701,0,153
250,683,700,0,99
300,722,700,0,66
350,722,699,0,67
400,704,698,1,100
450,682,698,1,142
500,705,698,1,169
550,705,698,1,164
600,716,698,1,131
650,741,698,2,87
700,741,697,3,56
750,702,697,4,59
800,671,696,6,99
850,671,696,6,161
900,697,697,6,216
950,711,697,4,238
1000,711,698,3,219
1050,686,699,3,169
1100,705,698,3,111
1150,701,698,3,72
1200,701,697,4,66
1250,705,697,5,93
1300,695,697,6,136
1350,695,697,6,168
1400,722,698,5,170
1450,704,698,5,141
1500,704,698,6,96
1550,711,697,6,60
1600,710,697,8,55
1650,710,696,9,88
1700,710,696,9,147
1750,704,696,9,205
1800,706,697,8,235
1850,706,698,6,224
1900,688,699,5,179
1950,716,699,5,121
2000,716,699,5,76
2050,708,698,6,63
2100,689,698,7,85
2150,683,697,7,126
2200,683,697,7,161
2250,702,699,7,170
2300,692,699,6,146
2350,692,698,6,104
2400,695,698,7,64
2450,716,698,8,52
2500,716,697,9,77
2550,718,697,9,133
2600,702,697,9,193
2650,684,698,8,229
2700,684,699,6,226
2750,689,700,5,187
2800,728,700,4,130
2850,728,700,5,82
2900,704,700,5,62
2950,709,699,6,78
3000,709,698,7,116
3050,703,699,7,154
3100,714,698,6,169
3150,714,699,6,151
3200,675,699,5,111
3250,706,699,6,69
3300,697,698,7,51
3350,697,698,8,70
3400,688,698,9,121
3450,708,697,8,182
3500,708,699,7,224
3550,688,699,6,229
3600,697,700,4,195
3650,697,700,4,139
3700,722,700,4,88
3750,720,699,5,63
3800,671,699,5,73
3850,671,698,6,109
3900,704,699,6,149
3950,696,699,6,168
4000,696,699,5,156
4050,694,699,5,118
4100,711,699,5,75
4150,711,698,6,52
4200,692,698,7,64
4250,689,697,8,111
4300,692,697,8,172
4350,692,698,7,220
4400,688,699,6,231
4450,712,699,4,203
4500,712,700,4,150
4550,690,700,4,96
4600,726,699,4,65
4650,726,699,5,69
4700,702,698,6,102
4750,705,699,6,143
4800,706,699,5,168
4850,706,699,5,161
4900,717,699,5,126
4950,712,698,5,82
5000,712,698,6,54
5050,703,698,7,59
5100,699,697,8,101
5150,699,697,8,162
5200,691,698,7,214
5250,706,699,6,233
5300,683,699,5,211
5350,683,700,4,160
5400,690,700,4,104
5450,705,700,4,68
5500,705,699,5,65
5550,713,698,6,95
5600,686,698,6,137
5650,686,698,6,166
5700,703,699,5,165
5750,713,699,5,134
5800,691,698,5,90
5850,691,698,6,57
5900,692,697,7,55
5950,714,697,8,91
6000,714,697,8,151
6050,685,698,8,207
6100,718,698,6,233
6150,718,699,5,218
6200,693,700,4,170
6250,686,700,4,114
6300,701,700,4,72
6350,701,699,5,63
6400,706,699,6,88
6450,697,698,6,129
6500,697,698,6,162
6550,728,698,5,167
6600,710,699,5,141
6650,710,699,5,98
6700,682,699,6,61
6750,686,698,7,53
6800,686,697,8,83
6850,690,697,8,140
6900,690,697,8,199
6950,694,698,7,231
7000,694,699,5,223
7050,703,700,4,180
7100,697,700,4,123
7150,697,700,4,77
7200,695,699,5,62
7250,721,699,6,82
7300,721,698,6,122
7350,677,698,6,158
7400,703,699,5,169
7450,688,699,5,147
7500,688,699,5,106
7550,699,699,6,66
7600,679,697,7,51
7650,679,697,8,75
7700,705,697,8,129
7750,694,697,8,189
